"screenName","Repeated"
"jnntylr",5
"JOJY_7",5
"JoshPhillipsWx",5
"joyrdings",5
"judygoddin1",5
"Julie_Foxette",5
"just_a_servant",5
"kaferijoanna",5
"Kalista63",5
"kalli_mak",5
"KaraHellman",5
"karen_fink",5
"katefoo",5
"Katheyyyy",5
"katie_flight",5
"katr03",5
"KauanPuga",5
"Kay186",5
"kellyiam83",5
"kenaviba",5
"Kev_Antonio",5
"kfergy298",5
"khaiminnn",5
"kim_granny",5
"Kittyhellofans",5
"koki5_3",5
"kris_dera",5
"Ksweety26",5
"lamenaknight",5
"Lau__91",5
"Laur_Costelloe",5
"laurabonnell37",5
"LauraPlourde",5
"laurencestjohn",5
"LeannWayne",5
"lee2ah",5
"lehimesa",5
"lepilla",5
"LettyA",5
"LFreshwater",5
"lgamon",5
"liberalfish",5
"Lightning_RTs",5
"LilMissScooter",5
"LinaHagag",5
"LinaNoloPongo",5
"Lorijs1",5
"lorraineditulli",5
"Lov3ErichG",5
"LoveMicheal1",5
"LOVEnatalliyah",5
"Lovingortoxic",5
"lucy_nyholm123",5
"LujanMolinas1D",5
"lukesassycalum",5
"Lunacy111",5
"lupash7",5
"Lusitana92_",5
"lyndnns",5
"mackaysuzie",5
"makitubei",5
"MakiVm65",5
"Mara_chem",5
"MarcAbrahams",5
"marcelprincess",5
"marthavmilam",5
"MarvenEuler",5
"maslenwillmoth",5
"MasssSuriya",5
"Mattahl",5
"MBested",5
"mcierii",5
"MCRofficially",5
"meganameliaxo",5
"Melina400",5
"miaomiapa",5
"MicBroadCastin",5
"Mick__geek",5
"midget_reed",5
"mikerobb38",5
"mikeydoo20",5
"MINASSIANok",5
"mohsinraza831",5
"mr_polakowski",5
"MrDatch",5
"mrhague1",5
"Mrs_Tait",5
"MrsLitzScience",5
"MuazJ77",5
"MungoMouthpiece",5
"mx_thevamps",5
"my_chemical_eli",5
"my_chemical_pha",5
"MyChemicalVeil_",5
"nancysuzyq",5
"nataliejmooney",5
"nayelimichelle2",5
"nchernand",5
"nialldefender",5
"Nicksarris01",5
"niklausellif",5
"nipo_chem",5
"NoChoiceToMake",5
"nooda1413",5
"notProfFrink",5
"nrmika",5
"nsroundtable",5
"nvparrilla",5
"NWCFanatics",5
"OB_Cobraa",5
"Obnoxious3170",5
"OISENews",5
"OurDailyPrayers",5
"ovo_danny5",5
"Packers6595",5
"PapaESoCo",5
"PenPure1",5
"petritamallorca",5
"Phil_B7",5
"phyto_chem",5
"poojadas77",5
"predragrujic",5
"prettylittle48",5
"princejoe824",5
"Pure_Tunes",5
"racheal25",5
"RaiannSpringer",5
"RaymundGun",5
"rdblaw",5
"RebecaRosemblum",5
"rebeccaalpert1",5
"rebeccccahale",5
"reevynap",5
"regs22",5
"rhasmin",5
"RiverMills79",5
"rk70534",5
"rmfaircloth",5
"robarmstrong41",5
"RobNask",5
"robrod76",5
"rungirlrun26",5
"ruthc93",5
"RyGar76",5
"SandraMarmaduke",5
"Sanoreita",5
"sassygerarda",5
"SBlakemoreActor",5
"Schmelzle_Chem",5
"sciencebabe",5
"ScienceonTapPHL",5
"ScottErin19",5
"SemiMooch",5
"Serendipity7427",5
"SharonCaseFan",5
"shootaass1",5
"SimplyPatton",5
"SkinCareShare",5
"slinehan1",5
"smithwjhg",5
"Snickerdoo2",5
"SoapView",5
"Soapysudsuk",5
"SofimeiSpain",5
"soleil217",5
"Sooriclover",5
"SophiaLamar1",5
"spann",5
"stairwellTO",5
"StarMinion",5
"Starr_h",5
"SteerMark",5
"stevenlaststraw",5
"Stooshie",5
"Stormy_Heather_",5
"StrangerThnRedz",5
"Strzala4Senate",5
"sulecorwin",5
"sunnyvileee",5
"SusanJCornish",5
"suzazq",5
"suzzy1969",5
"Svanouska",5
"SveZaboravljam",5
"sweetg35",5
"sweetheart16081",5
"sydnets",5
"Sydnyyyy",5
"tami_chemistry",5
"TammaraMaiden1",5
"TammVU",5
"TawonM",5
"tayfynrasim",5
"TeamKaranika",5
"TeamPalakJain",5
"Tedderman1",5
"tee_dee_pee",5
"TehshikYoon",5
"Thaisbely",5
"TheClassicAlice",5
"thell0ve",5
"TheMarkusMetz",5
"TheNewsHype",5
"TheTonyNoto",5
"ThomasSci",5
"TieraSimms",5
"TimakaHines",5
"tinypetite99",5
"tkillers_xmcr",5
"topfreeagents",5
"TrueLoveBandB",5
"truthguruisbad",5
"turkish_fan",5
"txeclectic",5
"TylerAllender",5
"tynatino",5
"Ultimac",5
"unicornsforsex",5
"uniiyf",5
"Unite_ForChange",5
"upuouo",5
"urban_aid",5
"VampireKnight_X",5
"Veronic06044814",5
"violentshipperw",5
"vquagliana",5
"w3aad_",5
"we_re_DEAD",5
"WeeklyNight",5
"weheartemison",5
"wellsbones",5
"wesleygfy",5
"whatzen",5
"whyandybiersack",5
"wickedlysteph",5
"wiki_syria",5
"wildworks",5
"Willem_Chem",5
"wnyosports",5
"WonKASM1",5
"wpcguy",5
"WrightTime717",5
"wuhokay",5
"WyoVarsity",5
"xIrisBestx",5
"XkNyronkX",5
"xstilesandlydia",5
"xylogix",5
"Yheela",5
"YosibelOrtega14",5
"youknowjmo",5
"YouWatch_iWin",5
"ZaighamJ",5
"Zayne_mcgee",5
"zayrahpadilla",5
"ZKBLAST",5
"_aboveaverageee",4
"_beatrizvallee",4
"_beautymuffin",4
"_C33j",4
"_Chemical_Diva_",4
"_erufu_",4
"_House0fBurgess",4
"_ITrendMyShips",4
"_JayySiete",4
"_jerichodu",4
"_JSTFY_",4
"_lowrhi",4
"_rahul24",4
"_shemmie_",4
"_unicorns_tears",4
"_wickedways",4
"03Bbomi_Rong",4
"100Concerned",4
"14_Sara",4
"19bq91",4
"1DGirl1234567",4
"2111015",4
"218Lov",4
"28Luma",4
"2KllMckngBrd",4
"3AlexandraLeigh",4
"3c59eaf6d1f048a",4
"3coffeesplez",4
"4isagoldenboy",4
"5N_Afzal",4
"a_savage6788",4
"A_Weatherall",4
"a16z",4
"AACTconnect",4
"abccentralvic",4
"abstuhh",4
"AClayClay",4
"addemeo",4
"addictdelena",4
"adoringxbellas",4
"AfEmison",4
"afshan_sohail",4
"aglindell",4
"AHartwig01",4
"Ahmed01raAhmed",4
"aiammaia",4
"aislingprior1",4
"AlesiaVenese",4
"alexcunn",4
"Alfredooo_3",4
"Aliennation11",4
"AllisonSmith420",4
"AllisonStydia",4
"AlphaRomeo223",4
"alrenade",4
"ALSciTeachers",4
"AlwaysMyDarling",4
"Amabelle_Beauty",4
"amandarnorman",4
"Amar_Kapiq",4
"amaraydg",4
"AmayaMakayla",4
"AMGR84",4
"AmitSwami77",4
"Amy_Fradley",4
"amy121166",4
"amycrowder1234",4
"amykfmurphy",4
"AnaBYSanchez",4
"anas_phoenix",4
"AndiWedekind",4
"AndreaRock97",4
"AndrewGerrity",4
"AndyGibsonTV",4
